checkpoint_step,scenario,threat_class,episodes,planned_cpa,planned_ttc,no_response_rate,near_miss_rate,collision_rate,min_distance_after_threat,replacement_count
250000,eval_flow_high_density,high,48,0.5169390963817334,5.344607789291047,0.020833333333333332,1.0,0.9583333333333334,0.6971927446623644,21.916666666666668
250000,eval_flow_high_density,medium,2,1.650703754635209,6.32139331702541,0.0,1.0,1.0,0.5662032663822174,10.5
250000,eval_flow_high_speed,high,49,0.5421380585950979,3.7117801441360445,0.0,1.0,0.9795918367346939,0.5363351057986824,30.959183673469386
250000,eval_flow_high_speed,medium,1,1.611584071670836,2.9829139221627097,0.0,1.0,1.0,0.596522331237793,59.0
250000,eval_flow_high_threat,high,50,0.5195751855111715,4.887746820159657,0.0,1.0,0.88,0.7372719389200211,16.78
250000,eval_flow_id,high,48,0.5180127222902442,5.807746090840883,0.0625,0.9791666666666666,0.7916666666666666,0.7855151370167732,24.979166666666668
250000,eval_flow_id,medium,2,1.6166222065419396,4.983441698444846,0.0,1.0,0.0,1.152402549982071,31.5
250000,eval_flow_mixed_ood,high,49,0.5151433238677449,4.480088759788211,0.0,1.0,0.9183673469387755,0.5733484361244707,17.428571428571427
250000,eval_flow_mixed_ood,medium,1,1.888135099240473,6.41588118949211,0.0,1.0,1.0,0.6136891841888428,6.0
250000,eval_flow_sudden_threat,high,49,0.49919334387052694,5.097891661269412,0.02040816326530612,1.0,0.8163265306122449,0.6867717151739159,17.775510204081634
250000,eval_flow_sudden_threat,medium,1,1.888135099240473,6.91588118949211,0.0,1.0,1.0,0.6433851718902588,3.0
500000,eval_flow_high_density,high,49,0.5191200694824479,5.6031364443545275,0.0,1.0,0.7551020408163265,0.9480732107649044,45.38775510204081
500000,eval_flow_high_density,medium,1,1.7962516770660912,2.9509867580262905,0.0,1.0,0.0,0.6875026226043701,46.0
500000,eval_flow_high_speed,high,48,0.5472322595954252,3.5663554782390374,0.0,1.0,0.75,0.5857503760295609,56.395833333333336
500000,eval_flow_high_speed,medium,2,1.8838517790385956,3.6610854530745294,0.0,1.0,1.0,0.4389299899339676,49.0
500000,eval_flow_high_threat,high,50,0.5294993326489271,4.973024103710203,0.0,0.98,0.7,0.929473691880703,26.48
500000,eval_flow_id,high,48,0.57434652724037,5.38666368148979,0.0,0.9583333333333334,0.6458333333333334,0.8011718445147077,32.8125
500000,eval_flow_id,medium,2,1.5830670435005088,6.668032050081795,0.0,0.5,0.5,1.5922815203666687,23.0
500000,eval_flow_mixed_ood,high,49,0.5219330131791287,4.5989452528010935,0.0,0.9591836734693877,0.6122448979591837,0.8043597343624854,30.591836734693878
500000,eval_flow_mixed_ood,medium,1,1.888135099240473,6.41588118949211,0.0,1.0,1.0,0.5448265671730042,6.0
500000,eval_flow_sudden_threat,high,50,0.5323438540393252,5.263232620982634,0.0,0.98,0.7,0.7861980280280113,29.32
750000,eval_flow_high_density,high,49,0.5377340111297039,5.848933912203983,0.0,0.9795918367346939,0.5714285714285714,1.027590193006457,47.87755102040816
750000,eval_flow_high_density,medium,1,1.6705683808792022,0.8,0.0,1.0,0.0,1.284146428108215,51.0
750000,eval_flow_high_speed,high,46,0.5429702128983118,3.8039248313009755,0.0,0.9347826086956522,0.6086956521739131,0.7447142759742944,59.78260869565217
750000,eval_flow_high_speed,medium,4,1.6564639306435547,3.253313314265683,0.0,0.75,0.0,1.492463082075119,55.75
750000,eval_flow_high_threat,high,50,0.5422945649385678,4.411529321335941,0.0,0.92,0.34,0.9646896612644196,29.08
750000,eval_flow_id,high,48,0.5856466083882343,5.8806380257658155,0.0,0.9375,0.3541666666666667,1.0807736162096262,34.854166666666664
750000,eval_flow_id,medium,2,1.6538131836058056,5.4019202024732,0.0,1.0,0.5,0.774626225233078,27.5
750000,eval_flow_mixed_ood,high,47,0.5272342420796235,4.04427831841192,0.0,1.0,0.5319148936170213,0.9087297488400277,34.319148936170215
750000,eval_flow_mixed_ood,medium,3,1.7677312768797153,3.241133151149502,0.0,1.0,0.3333333333333333,0.7632360855738322,17.666666666666668
750000,eval_flow_sudden_threat,high,50,0.5449717030766589,4.933133593044056,0.0,0.98,0.52,1.0105271697044373,30.16
1000000,eval_flow_high_density,high,49,0.5668428200377336,4.749919424291964,0.0,1.0,0.7142857142857143,0.8368373718492839,49.183673469387756
1000000,eval_flow_high_density,medium,1,1.6692708620536911,0.8,0.0,1.0,0.0,0.6857064366340637,39.0
1000000,eval_flow_high_speed,high,48,0.5199511488689279,3.3141479203681086,0.0,0.9583333333333334,0.5833333333333334,0.758388633839786,61.604166666666664
1000000,eval_flow_high_speed,medium,2,1.5873021876246314,3.5873330212037633,0.0,1.0,0.0,1.2621189951896667,73.5
1000000,eval_flow_high_threat,high,50,0.532553483857963,4.249343322618574,0.0,0.92,0.36,0.9868869006633758,30.06
1000000,eval_flow_id,high,49,0.6024284882809386,5.295625276083529,0.0,0.9591836734693877,0.42857142857142855,1.1170950927296464,36.10204081632653
1000000,eval_flow_id,medium,1,1.6504527765083994,6.032121772476337,0.0,1.0,1.0,0.4308382272720337,36.0
1000000,eval_flow_mixed_ood,high,48,0.5651288532731257,4.906898220181046,0.0,0.8333333333333334,0.4583333333333333,1.0627788019677002,35.270833333333336
1000000,eval_flow_mixed_ood,medium,2,1.7330609925563798,6.334073848284462,0.0,1.0,0.5,0.7931123077869415,20.5
1000000,eval_flow_sudden_threat,high,50,0.5521444561209964,3.5579268524417116,0.0,0.94,0.4,0.9104967397451401,32.96
1250000,eval_flow_high_density,high,50,0.5203640805531884,5.437499751668888,0.0,1.0,0.6,0.9468120330572128,47.36
1250000,eval_flow_high_speed,high,49,0.5472803179736642,3.668551763341574,0.0,0.9795918367346939,0.6938775510204082,0.6422611791260389,58.12244897959184
1250000,eval_flow_high_speed,medium,1,1.7605076126791164,2.4683829802139,0.0,1.0,1.0,0.6223605871200562,57.0
1250000,eval_flow_high_threat,high,49,0.4998570660908272,4.386172667193353,0.0,0.9795918367346939,0.5918367346938775,0.6923502634982673,27.346938775510203
1250000,eval_flow_high_threat,medium,1,1.818860771349858,6.54470421360802,0.0,1.0,0.0,0.9005711078643799,22.0
1250000,eval_flow_id,high,44,0.543891061774309,6.625304628596464,0.0,0.9318181818181818,0.5454545454545454,0.9913224097002636,33.27272727272727
1250000,eval_flow_id,medium,6,1.7816925493085802,3.8580267953946517,0.0,1.0,0.16666666666666666,0.9159007171789805,34.0
1250000,eval_flow_mixed_ood,high,49,0.5305544854555164,4.2202503062139165,0.0,0.9387755102040817,0.5306122448979592,0.8666945203226439,32.204081632653065
1250000,eval_flow_mixed_ood,medium,1,1.888135099240473,6.41588118949211,0.0,1.0,1.0,0.5420319437980652,6.0
1250000,eval_flow_sudden_threat,high,50,0.5123347188303559,4.617787226842967,0.0,0.96,0.52,0.863604918718338,29.96
1500000,eval_flow_high_density,high,48,0.5745596702279459,4.855979054591996,0.0,0.9583333333333334,0.3541666666666667,1.1502296403050423,51.416666666666664
1500000,eval_flow_high_density,medium,2,1.6286679015134653,7.336718955884515,0.0,1.0,0.5,0.8564923703670502,37.5
1500000,eval_flow_high_speed,high,48,0.575490297528959,3.2548948034400205,0.0,1.0,0.4583333333333333,0.7661681255946556,60.5625
1500000,eval_flow_high_speed,medium,2,1.5874891360567622,0.8,0.0,1.0,0.5,0.5464646629989147,51.0
1500000,eval_flow_high_threat,high,49,0.5232019585562557,4.571719084206375,0.0,0.9591836734693877,0.3877551020408163,0.9086518676913514,29.244897959183675
1500000,eval_flow_high_threat,medium,1,1.8510444843389036,0.8,0.0,1.0,0.0,1.3317521810531616,39.0
1500000,eval_flow_id,high,44,0.5560840690418555,5.219331040463644,0.0,0.9090909090909091,0.45454545454545453,0.9937244575809349,36.18181818181818
1500000,eval_flow_id,medium,6,1.8016992709709927,4.612088868439869,0.0,1.0,0.16666666666666666,1.049025942881902,34.5
1500000,eval_flow_mixed_ood,high,47,0.567183246679552,4.057734722938521,0.0,0.9787234042553191,0.44680851063829785,0.8842329877488156,34.723404255319146
1500000,eval_flow_mixed_ood,medium,3,1.6917971919718233,5.93160161204488,0.0,1.0,0.6666666666666666,0.7915541132291158,22.666666666666668
1500000,eval_flow_sudden_threat,high,50,0.4924914735985943,4.21962441870842,0.0,0.98,0.26,0.9208285301923752,33.44
