model,split,motion_mode_id,motion_mode,samples,valid_labels,masked_mse,masked_smoothl1,gaussian_nll
zero,train,0,linear,41786,105559,1.7343672287381615e-12,8.671836143690807e-13,8.671836143690807e-13
zero,train,1,sinusoidal_lateral,63536,160330,0.8834435992325618,0.2720607744468374,0.4417217996162809
zero,train,2,accel_decel,40536,94709,0.5963249269817807,0.1805449194337307,0.2981624634908904
zero,train,3,ar1_velocity,47877,113444,0.2978868501232919,0.12837111087265915,0.14894342506164596
zero,train,4,crossing_or_sudden_threat,35222,89429,0.2304289391594535,0.06185004403281984,0.11521446957972675
delta_only,train,0,linear,41786,105559,0.007314632064806735,0.0036573160324033676,-0.011981188214894542
delta_only,train,1,sinusoidal_lateral,63536,160330,0.07212889510537052,0.035431593917522174,0.010987105948438915
delta_only,train,2,accel_decel,40536,94709,0.5842727954436069,0.1829096391659667,0.3121339766395278
delta_only,train,3,ar1_velocity,47877,113444,0.22671124719433924,0.10286158624139513,0.10991706209103634
delta_only,train,4,crossing_or_sudden_threat,35222,89429,0.17886121609273425,0.050632919330987736,0.10321467857251523
nll,train,0,linear,41786,105559,0.007568879957228104,0.003784439978614052,-1.2206823184491171
nll,train,1,sinusoidal_lateral,63536,160330,0.07701200548123661,0.03792378471110235,-0.9799673448229241
nll,train,2,accel_decel,40536,94709,0.5863483966177404,0.1834700583311069,-0.5839705408051292
nll,train,3,ar1_velocity,47877,113444,0.22478706766865136,0.10198725837629312,-0.22640576410562818
nll,train,4,crossing_or_sudden_threat,35222,89429,0.18097619629803932,0.05141212845106588,-0.975505069587256
zero,val,0,linear,8981,22671,1.7891723593367958e-12,8.945861796683979e-13,8.945861796683979e-13
zero,val,1,sinusoidal_lateral,13281,33704,0.9054141212630504,0.27675079235625344,0.4527070606315252
zero,val,2,accel_decel,8398,19541,0.6029950370944847,0.18104357649174568,0.3014975185472423
zero,val,3,ar1_velocity,10716,25035,0.303347603680998,0.13118626170118447,0.151673801840499
zero,val,4,crossing_or_sudden_threat,8223,20774,0.28280472869196366,0.07295956520962314,0.14140236434598183
delta_only,val,0,linear,8981,22671,0.007349398975635872,0.003674699487817936,-0.011705452835850495
delta_only,val,1,sinusoidal_lateral,13281,33704,0.06957775269234084,0.03426047638651465,0.010468383904052065
delta_only,val,2,accel_decel,8398,19541,0.5957795700656976,0.18540940050061355,0.32122544938158754
delta_only,val,3,ar1_velocity,10716,25035,0.23163163067976278,0.10422625603173796,0.11368642461995762
delta_only,val,4,crossing_or_sudden_threat,8223,20774,0.21813505294304622,0.0591718506765502,0.12630722462462138
nll,val,0,linear,8981,22671,0.007574804729469462,0.003787402364734731,-1.2326162050089284
nll,val,1,sinusoidal_lateral,13281,33704,0.07567907492475406,0.03731623041874096,-0.983516373641121
nll,val,2,accel_decel,8398,19541,0.5976535690034447,0.18606053016450394,-0.5567198007585373
nll,val,3,ar1_velocity,10716,25035,0.23025597102651704,0.1033425538960375,-0.19218237593398607
nll,val,4,crossing_or_sudden_threat,8223,20774,0.21983628061730867,0.0598729714451817,-0.9342583628503216
zero,test,0,linear,8047,20275,1.7006571930418233e-12,8.503285965209116e-13,8.503285965209116e-13
zero,test,1,sinusoidal_lateral,14852,37734,0.8884759885139448,0.2733844276345033,0.4442379942569724
zero,test,2,accel_decel,7507,17149,0.598585250284292,0.17629898255140133,0.299292625142146
zero,test,3,ar1_velocity,9499,22286,0.30596244697357644,0.13179924587389777,0.15298122348678822
zero,test,4,crossing_or_sudden_threat,8191,20881,0.22184473585468936,0.06031985617101288,0.11092236792734468
delta_only,test,0,linear,8047,20275,0.0064427980200244496,0.0032213990100122248,-0.011782570086271838
delta_only,test,1,sinusoidal_lateral,14852,37734,0.07449942740147947,0.03661884186528665,0.013145901206988105
delta_only,test,2,accel_decel,7507,17149,0.5870830923320544,0.17898360358531204,0.31544955653995566
delta_only,test,3,ar1_velocity,9499,22286,0.23145029833110825,0.10444755830532727,0.11251842288531512
delta_only,test,4,crossing_or_sudden_threat,8191,20881,0.17322027036441387,0.05059338039959583,0.08341641917577125
nll,test,0,linear,8047,20275,0.007346743370613551,0.0036733716853067757,-1.2030857386414622
nll,test,1,sinusoidal_lateral,14852,37734,0.0797964950633711,0.03927154355899536,-0.9735463589651663
nll,test,2,accel_decel,7507,17149,0.5887481809286056,0.17938220582603306,-0.5809560813211256
nll,test,3,ar1_velocity,9499,22286,0.22791298574871352,0.10270818815073685,-0.19971626473585105
nll,test,4,crossing_or_sudden_threat,8191,20881,0.17578282964815506,0.05174806640123913,-0.9923148148772047
