repair_stage,active_only,samples,block,count,nan_count,inf_count,mean,std,l2_norm_mean,l2_norm_median,l2_norm_p95,min,max,p01,p05,p50,p95,p99
before_fix,1,6305,obs_i_12,75660,0,0,0.18003432600814892,0.3945215126569119,1.4851912845514013,1.4858858585357666,1.8517527341842643,-1.2010658979415894,1.342272400856018,-0.7736572360992432,-0.5608712732791901,0.141518697142601,0.9576706290245062,1.0
before_fix,1,6305,z_i_64,403520,0,0,106200.46048618565,128011.60445534906,1229442.0384124476,1139654.875,1843789.025,0.0,588370.6875,0.0,0.0,62907.466796875,354802.8625,504586.10875
before_fix,1,6305,delta_hat_9_before_scale,56745,0,0,-4589.801068811676,38432.217707080716,95833.30678519946,54463.97265625,180588.696875,-167838.0,87055.046875,-144333.945625,-103213.8609375,2632.59375,45907.39140625,63347.60921875
before_fix,1,6305,delta_hat_9_after_scale,56745,0,0,-917.960213742433,7686.443540716874,19166.66135649778,10892.7958984375,36117.740625,-33567.6015625,17411.009765625,-28866.789296875,-20642.771484375,526.5187377929688,9181.4783203125,12669.5217578125
before_fix,1,6305,logvar_hat_9_clamped,56745,0,0,-4.912460615233599,0.554521688647246,14.778780706376901,15.0,15.0,-5.0,1.3608744144439697,-5.0,-5.0,-5.0,-5.0,-1.3871218013763498
before_fix,1,6305,full_aug_obs,592670,0,0,72218.35933466569,116731.90226280183,1229764.4040147797,1140188.625,1843823.9,-33567.6015625,588370.6875,-8832.396074218726,-5.0,1.0,336833.75,487529.510625
after_fix,1,6305,obs_i_12,75660,0,0,0.18003432600814892,0.3945215126569119,1.4851912845514013,1.4858858585357666,1.8517527341842643,-1.2010658979415894,1.342272400856018,-0.7736572360992432,-0.5608712732791901,0.141518697142601,0.9576706290245062,1.0
after_fix,1,6305,z_i_64,403520,0,0,1.7549299135004972,2.1094279705734484,21.4967245251673,21.453351974487305,27.542139434814448,0.0,14.321175575256348,0.0,0.0,1.0082173347473145,5.816540670394895,8.718914051055908
after_fix,1,6305,delta_hat_9_before_scale,56745,0,0,-0.0031319194768667643,2.449971237941826,7.120635744500358,7.504825115203857,9.406681060791012,-9.974539756774902,9.713358879089355,-6.804573707580566,-4.662736701965331,-0.0016483124345541,4.739670276641846,7.411302375793457
after_fix,1,6305,delta_hat_9_after_scale,56745,0,0,-0.0006263839665157049,0.4899942477477622,1.4241271499274069,1.5009649991989136,1.8813362360000605,-1.9949079751968384,1.942671775817871,-1.360914707183838,-0.9325473189353941,-0.0003296624927315861,0.9479340672492981,1.4822604274749756
after_fix,1,6305,logvar_hat_9_clamped,56745,0,0,-3.8483415803021312,1.5924587056257309,12.412753910265868,12.851692199707031,13.494678306579589,-5.0,2.265913486480713,-5.0,-5.0,-5.0,-0.9628000020980844,0.042787155061959695
after_fix,1,6305,full_aug_obs,592670,0,0,0.8493107946565082,2.472420986620858,24.970221653635022,25.10943603515625,30.612932205200178,-5.0,14.321175575256348,-5.0,-5.0,0.17325282096862793,5.223154020309445,8.15747963905329
